bank_ticker,bank_name,cik,period,period_end,deposits_to_assets,loans_to_deposits,interest_expense_to_deposits_annualized,deposit_interest_expense_to_deposits_annualized,net_income_to_assets_annualized,noninterest_expense_to_assets_annualized,noninterest_income_to_assets_annualized,equity_to_assets,roa_annualized,roe_annualized,net_interest_margin_proxy,loan_yield_annualized,efficiency_ratio,tier_1_capital_ratio,data_type,period_sort
COF,CAPITAL ONE FINANCIAL CORP,0000927628,2026Q1,2026-03-31,0.7161362122110689,0.9155531200094877,0.03341969070836903,0.027702518949888868,0.01273383559938791,0.049576441818408125,0.018075720634641714,0.16438743309830797,0.01273383559938791,0.07746234222036148,0.07113727385214634,0.14499926298815868,0.5557087518875976,,real_public_sec_edgar_ratio,20261
JPM,JPMORGAN CHASE & CO,0000019617,2018Q2,2018-06-30,0.5606540414277716,0.6476315350914041,0.013996069200797177,0.003691149917155721,0.01284299530897087,0.024665160904229648,0.02203509584757051,0.09940271423331595,0.01284299530897087,0.12920165619246635,0.02082585278276481,0.07896729190591638,0.57546931863222,,real_public_sec_edgar_ratio,20182
JPM,JPMORGAN CHASE & CO,0000019617,2018Q3,2018-09-30,0.5578049413750396,0.6496268753915991,0.015166284836045908,0.004444864892285376,0.01281745866350462,0.023895842088297453,0.020422280199894234,0.09902022152943026,0.01281745866350462,0.12944283971022105,0.02127269869833201,0.0820513036972472,0.5731107850330154,,real_public_sec_edgar_ratio,20183
JPM,JPMORGAN CHASE & CO,0000019617,2018Q4,2018-12-31,0.5607809551990214,0.65916734323089,0.016444250428037367,0.005309159251658772,0.010777370876694736,0.02360161858844811,0.017554027939411226,0.0978119618750124,0.010777370876694736,0.11018458959515039,0.021893345819993807,0.0841744763594539,0.5983064609674051,,real_public_sec_edgar_ratio,20184
JPM,JPMORGAN CHASE & CO,0000019617,2019Q1,2019-03-31,0.5456114084966031,0.6319908185191112,0.018577232043314733,0.005860291769142537,0.013413766244773834,0.023958895041188255,0.0214380597898281,0.0949284448127056,0.013413766244773834,0.14130397133587597,0.02112094602197584,0.09064662374277023,0.5629571129347938,,real_public_sec_edgar_ratio,20191
JPM,JPMORGAN CHASE & CO,0000019617,2019Q2,2019-06-30,0.558910587784096,0.6217214951051621,0.01890628269812728,0.006331833469893287,0.014155715065636275,0.023841204321071622,0.021044379970660478,0.09650840605577736,0.014155715065636275,0.14667857075014723,0.02111624383703182,0.09117805952762818,0.5654850940967753,,real_public_sec_edgar_ratio,20192
JPM,JPMORGAN CHASE & CO,0000019617,2019Q3,2019-09-30,0.5516991052429213,0.609002000313389,0.018076906181958365,0.006317607281639011,0.013137234547020413,0.023687533480596715,0.021793630394467894,0.09561678628953062,0.013137234547020413,0.1373946464508905,0.0205855256756615,0.09095185959110204,0.5589430200402854,,real_public_sec_edgar_ratio,20193
JPM,JPMORGAN CHASE & CO,0000019617,2019Q4,2019-12-31,0.5815910577309986,0.6052113661339285,0.01474881130750734,0.004984540117291579,0.012685759081503396,0.024189300708697674,0.02143029700235662,0.09727609802726768,0.012685759081503396,0.13040982665595224,0.021092307881288394,0.08429348107711392,0.5688574529920516,,real_public_sec_edgar_ratio,20194
JPM,JPMORGAN CHASE & CO,0000019617,2020Q1,2020-03-31,0.5849901068334539,,0.01028753127027155,0.003431355728648389,0.0036513909377957196,0.02139982730768863,0.017647752291677952,0.08324342924872472,0.0036513909377957196,0.0438640139017538,0.018402245637288796,,0.5936152160079191,,real_public_sec_edgar_ratio,20201
JPM,JPMORGAN CHASE & CO,0000019617,2020Q2,2020-06-30,0.6010717655214103,,0.004679370428926754,0.0007229306240351647,0.00583569353955606,0.02109415829894576,0.023932942440227565,0.08232038231449931,0.00583569353955606,0.07089001988913508,0.0172481038198144,,0.5122297808012094,,real_public_sec_edgar_ratio,20202
JPM,JPMORGAN CHASE & CO,0000019617,2020Q3,2020-09-30,0.6167575894567159,0.472434016716165,0.0033716128980681675,0.0004896533254455845,0.0116398428257589,0.020800841648277182,0.020020578966004027,0.08354634935984254,0.0116398428257589,0.13932198013374497,0.016040376436683317,0.06218688427845764,0.5768244744488121,,real_public_sec_edgar_ratio,20203
JPM,JPMORGAN CHASE & CO,0000019617,2020Q4,2020-12-31,0.6335039708906725,0.45914505583985504,0.0024101588568907553,0.00035070422995004796,0.014341945374512853,0.018965024667945144,0.0189992959612758,0.08253295583700691,0.014341945374512853,0.17377234619872992,0.01566788989578868,0.059114801554048906,0.5470598261462417,,real_public_sec_edgar_ratio,20204
JPM,JPMORGAN CHASE & CO,0000019617,2021Q1,2021-03-31,0.6174856396923457,0.41641587419758114,0.00242657077439564,0.0002563526288435336,0.015504144919302552,0.02030175619677904,0.021008658468624163,0.0760879464489003,0.015504144919302552,0.20376611070342057,0.013974330340202139,0.060174438829400344,0.5803322382693857,,real_public_sec_edgar_ratio,20211
JPM,JPMORGAN CHASE & CO,0000019617,2021Q2,2021-06-30,0.6256940342907767,0.41803656662257827,0.0023477182408424024,0.0002290456820334051,0.012971954174737043,0.019181077536414407,0.019258162299253905,0.07773238341743896,0.012971954174737043,0.16687966590545628,0.01383291497659229,0.05850165773375603,0.5796450014764264,,real_public_sec_edgar_ratio,20212
